country,iso3,P_NP,<12,12-24m,>24,unknown,total
South Africa,ZAF,PW,,,,1780,1780
Spain,ESP,PW,6817,1775,720,,9312
Sri Lanka,LKA,NP,28297,3,,,28300
Sri Lanka,LKA,PW,28429,2474,,,30903
Sudan,SDN,NP,2030,,,,2030
Sudan,SDN,PW,1375,21,2,,1398
Suriname,SUR,NP,69,,,,69
Suriname,SUR,PW,926,439,68,,1433
Sweden,SWE,PW,1114,126,37,,1277
Syrian Arab Republic,SYR,NP,1419,,,,1419
Syrian Arab Republic,SYR,PW,1589,67,7,,1663
Taiwan Province of China,TWN,NP,504,2,,,506
Taiwan Province of China,TWN,PW,14819,6306,936,,22061
"Tanzania, United Rep. of",TZA,NP,46007,,,,46007
"Tanzania, United Rep. of",TZA,PW,11284,,,,11284
Thailand,THA,NP,,,,2639,2639
Thailand,THA,PW,31410,35073,736,,67219
Togo,TGO,NP,160,40,,,200
Togo,TGO,PW,75,96,,,171
Tonga,TON,PW,1188,16,4,,1208
Trinidad and Tobago,TTO,PW,932,57,,,989
Tunisia,TUN,NP,8360,,,,8360
Tunisia,TUN,PW,3862,656,266,,4784
Turkey,TUR,PW,,,,17497,17497
Turks and Caicos Is.,TCA,PW,228,9,,,237
Tuvalu,TUV,NP,26,,,,26
Tuvalu,TUV,PW,189,2,,,191
Uganda,UGA,NP,36103,395,,,36498
Uganda,UGA,PW,6592,200,3,,6795
Ukraine,UKR,NP,12,,,,12
Ukraine,UKR,PW,3115,130,55,,3300
United Kingdom,GBR,PW,5297,711,227,,6235
United States of America,USA,PW,27410,23611,1296,20231,72548
Uruguay,URY,NP,140,,,,140
Uruguay,URY,PW,444,22,39,,505
US Virgin Islands,VIR,PW,274,4,,,278
Uzbekistan,UZB,NP,825,,,,825
Uzbekistan,UZB,PW,43,1,,,44
Vanuatu,VUT,NP,119,,,,119
Vanuatu,VUT,PW,95,7,59,,161
"Venezuela, Boliv Rep of",VEN,NP,6177,,,,6177
"Venezuela, Boliv Rep of",VEN,PW,37092,5805,310,,43207
Vietnam,VNM,PW,,,,28719,28719
Yemen,YEM,PW,,,,23582,23582
Zambia,ZMB,NP,20600,,,,20600
Zimbabwe,ZWE,NP,583,,,,583
Zimbabwe,ZWE,PW,539,,,,539
